spid	artist	album	song	taglist
1ZXghvDsLQJS2SENdvbQe7	Finger Eleven	Them vs. You. vs. Me (Deluxe Edition) and (Bonus Cuts)	Falling On	spotify:2013
5raijeLg9S5BKTZLbZEHPb	Finger Eleven	Them vs. You. vs. Me (Deluxe Edition) and (Bonus Cuts)	I'll Keep Your Memory Vague	spotify:2013
0Hf8MweHoLKXaMW27uxUHD	Finger Eleven	Them vs. You. vs. Me (Deluxe Edition) and (Bonus Cuts)	Window Song	spotify:2013
1CwsTg0x6MGBUCl5InBpho	Finger Eleven	Them vs. You. vs. Me (Deluxe Edition) and (Bonus Cuts)	Talking To The Walls	spotify:2013
6EULbeJ4MAwz1LLy5ntxdG	Finger Eleven	Them vs. You. vs. Me (Deluxe Edition) and (Bonus Cuts)	Gather & Give	spotify:2013
4KuPf7MUdG8iE59I98dsTC	Finger Eleven	Them vs. You. vs. Me (Deluxe Edition) and (Bonus Cuts)	Sacrifice	spotify:2013
0ZkZKuU4qzGxFNxHPI2ane	Sum 41	All The Good Sh**. 14 Solid Gold Hits (2000-2008)	Still Waiting	spotify:2013
1yOlhyiNWkMUX9cMQfF9DW	Sum 41	All The Good Sh**. 14 Solid Gold Hits (2000-2008)	Fat Lip	spotify:2013
34T46FFqvALU1RWzFibOZp	Sum 41	All The Good Sh**. 14 Solid Gold Hits (2000-2008)	In Too Deep	spotify:2013
2GqXLs42zSmZrbv8wTQbXH	Sum 41	All The Good Sh**. 14 Solid Gold Hits (2000-2008)	Underclass Hero	spotify:2013
1ycf9uKssJqZXKb6LTOnwF	Sum 41	All The Good Sh**. 14 Solid Gold Hits (2000-2008)	Makes No Difference - Alternate Version	spotify:2013
2YNNjr3VWe2x8Z2FBuJImM	Bryan Adams	The Best Of Me	Can't Stop This Thing We Started	spotify:2013
5EU1mh0C4Km3k6vGvIDN2J	Bryan Adams	The Best Of Me	Summer Of '69	spotify:2013
2fqNnUjufaeVGj5ysQnZvT	Bryan Adams	The Best Of Me	When You're Gone	spotify:2013
2GHVU95jbH5RX87xRVj7kk	Bryan Adams	The Best Of Me	The Only Thing That Looks Good On Me Is You	spotify:2013
4AnIV3TTR93t6mh7luk0wd	blink-182	Greatest Hits	Another Girl Another Planet	spotify:2013
3J0sfzpFmIGyy826HT3lL4	blink-182	Greatest Hits	Man Overboard	spotify:2013
5aVz90vkrSuGk6gGA7g2iK	blink-182	Take Off Your Pants And Jacket	Shut Up	spotify:2013
6Ou4ZbbiRTSMpgIQqMy6Pt	blink-182	Take Off Your Pants And Jacket	Every Time I Look For You	spotify:2013
6Lu2Eiaak23fVEWBAZ6qUn	blink-182	Take Off Your Pants And Jacket	Online Songs	spotify:2013
2CYbSzQA7HRYJluYZFvl3u	blink-182	Enema Of The State	What's My Age Again? - Album Version (Edited)	spotify:2013
0lHWf385QpzpHulxt029L6	blink-182	Enema Of The State	All The Small Things	spotify:2013
6WkSUgo1VdpzgtiXKlFPcY	blink-182	Dude Ranch	Dammit	spotify:2013
4lLxK3yBvwNoqTFjKC8RNg	blink-182	Take Off Your Pants And Jacket	First Date	spotify:2013
3C0f4W0lQSgMARICJF3KLh	blink-182	Take Off Your Pants And Jacket	The Rock Show	spotify:2013
1poMC8EEh2mvjo9Xohwae3	Smash Mouth	Astro Lounge	Radio	spotify:2013
4lLqDI9K1jQ48E047k5aAz	Smash Mouth	Smash Mouth	Your Man	spotify:2013
1eNXN6CMsXPj6vLmfipQhf	Smash Mouth	Fush Yu Mang	Flo	spotify:2013
