spid	artist	album	song	taglist
7A1G4cFoivSdoryjH9w2z6	ZZ Top	Afterburner	Can't Stop Rockin'	spotify:cycling
0fJAwqDzQiMEAcM3tymJJh	The Fratellis	Costello Music	Creepin Up The Backstairs	spotify:cycling
5g3o7Q1PdQVaibYCsdhvEF	Marianas Trench	Masterpiece Theatre	Cross My Heart	spotify:cycling
1tT1tIZAINzFZyjoPKtg7C	blink-182	Can't Hardly Wait	Dammit	spotify:cycling
3bfBjEZRhupg9KzhwkATfO	Every Avenue	Shh, Just Go With It	Days of the Old	spotify:cycling
6kurPBnfiwamP4G6lrSsRG	Marianas Trench	Fix Me	Decided To Break It	spotify:cycling
2CP1Ol1PQL06OkhJYCrso5	ZZ Top	Afterburner	Delirious	spotify:cycling
7hQJA50XrCWABAu5v6QZ4i	Queen	Jazz (Deluxe Remastered Version)	Don't Stop Me Now	spotify:cycling
1fJFuvU2ldmeAm5nFIHcPP	blink-182	Take Off Your Pants And Jacket	First Date	spotify:cycling
0WJygED9kj3VMLf6l7Foe2	Smash Mouth	All Star Smash Hits	Flo	spotify:cycling
0RFcOH8gFVVbARsgrehf2a	Fm Static	Critically Ashamed	Flop Culture	spotify:cycling
