"ID","NAME","TYPE","MAJORS__C","INDUSTRIES__C","ACCTNUMBER__C"
"0017000000Ncw7HAAR","Menara Networks","","false","",""
"0017000000NcwncAAB","Patria Oyj","Customer","false","","9966"
"0017000000NcwpOAAR","Tekes","Other","false","","TEKES"
"0017000000NdXdtAAF","Creowave Ltd","Customer","false","","7140"
"0017000000NdXduAAF","Perlos Oyj","Ex-Customer","false","","8322"
"0017000000NdXoLAAV","VTI Technologies Oy","Customer","false","","8482"
"0017000000NdYnIAAV","VTT - Sensing and Wireless Devices","Customer","false","","8490"
"0017000000Ndc9hAAB","Array Wireless, Inc.","Customer","false","","9160"
"0017000000NdcRGAAZ","Teledyne Scientific Company","","false","",""
"0017000000NdcSdAAJ","AeroAntenna Technology, Inc.","Prospect","false","","9544"
"0017000000NdcyMAAR","Nav Canada","Prospect","false","",""
"0017000000Ndd0XAAR","Sagrad, Inc.","Prospect","false","",""
"0017000000Ndd6kAAB","Windermere Group","Prospect","false","","9417"
"0017000000Ne6bxAAB","NuTune Germany GmbH","Customer","false","","3311"
"0017000000Ne7JKAAZ","Airbus Defence and Space GmbH -","Customer","false","","5826"
"0017000000Ne7MrAAJ","Tellabs Oy","Customer","false","","8476"
"0017000000Ne7y6AAB","Esju Oy","Customer","false","","8356"
"0017000000NeHjDAAV","Continental AG - Parent","Other","false","",""
"0017000000NeIizAAF","NPP Pulsar","Prospect","false","","9412"
"0017000000NePNWAA3","Alcatel Lucent WTD","Prospect","false","",""
"0017000000NeQ8KAAV","Johnson Controls Automotive Group","Prospect","false","",""
"0017000000NeQB6AAN","Johnson Control Incs","Prospect","false","",""
"0017000000NeQBjAAN","Tomkins","Prospect","false","",""
"0017000000NeRjgAAF","Safran Group","Customer","false","",""
"0017000000NeRvVAAV","Sagem Defense Securite - URD Radio Navigation et Stabilisation, Division Na","Customer","false","","9139"
"0017000000NeS9VAAV","United Monolithic Semiconductors (UMS) S.A.S - France","Customer","false","","682"
"0017000000NeSGvAAN","Thales - Parent","Customer","false","","914"
"0017000000NeSJVAA3","Thales Communications - Colombes","Off Maintenance","false","","1923"
"0017000000NejOIAAZ","API Technologies Corporation","Customer","false","","1200"
"0017000000Nekk5AAB","Vectrawave","Customer","false","","8875"
"0017000000Nel2QAAR","ALCATEL-THALES 3-5Lab","Prospect","false","",""
"0017000000Nel2RAAR","Alcatel Lucent Stuttgart","Prospect","false","",""
"0017000000NenJLAAZ","Thales Communications - Cholet","Prospect","false","","9141"
"0017000000NenXbAAJ","STMicroelectronics N.V. - Parent","Customer","false","","8458"
"0017000000NenXcAAJ","STMicroelectronics - Tours","Customer","false","","8463"
"0017000000NenfsAAB","STMicroelectronics - Grenoble","Customer","false","","8461"
"0017000000NenvFAAR","Alcatel Lucent Villarceau","Customer","false","","9621"
"0017000000Neo6KAAR","Legrand","Customer","false","","7514"
"0017000000Neo6LAAR","Celar","Customer","false","","2783"
