custid|custname|city|country|territory|type|status|parentid|pname
10010212|Anritsu - Texas (mar-02)|TX|US|AWR-CE|Regional Office|Off Maintenance|10040023|Anritsu Corporation
10010220|Aeroflex Microelectronics Solutions|MI|US|AWR-NE|Site|On Maintenance|306|Aeroflex
10010224|Andrew Corporation - Orland Park IL|IL|US|AWR-NE|Regional Office|Ex-Customer|9022|CommScope, Inc.
10011|Tait Electronics Ltd. - Wairakei Road|Canterbury|NZ|AWR-AU|Site|On Maintenance|3108|Tait Electronics Ltd.
10012|Emhiser Tele-Tech Inc. - Montana|MT|US|AWR-NW|Regional Office|Off Maintenance|8758|Emhiser Research Inc.
10013|King Abdulaziz City for Science & Technology (KACST)|Riyadh|SA|AWR-NI|University|Ex-Customer|10013|King Abdulaziz City for Science & Technology (KACST)
10014|Sesamo Security And Safety Mobility S.C.A.R.L. (jun-09)|Napoli|IT|MED|Enterprise|Off Maintenance|10014|Sesamo Security And Safety Mobility S.C.A.R.L. (jun-09)
10015|Spinner telecommunications Devices (Shanghai) Co. Ltd.|Shanghai |CN|AWR-TSMC|Regional Office|Off Maintenance|8456|Spinner GmbH
10016|NASA Johnson Space Center (may-11)|TX|US|AWR-CE|Regional Office|Off Maintenance|10098|NASA Headquarters
10017|General Dynamics - SATCOM Technologies - Longview|TX|US|AWR-CE|Regional Office|On Maintenance|8370|General Dynamics
10020|Mesuro - European Office|Wales|GB|AWR-UK|Enterprise|Partner|10020|Mesuro
10022|Carnegie Mellon University - Electrical and Computer Engineering - Commercial|PA|US|AWR-NE|Regional Office|Ex-Customer|7745|Carnegie Mellon University
10024|Elettronika, S.r.l.|BA|IT|MED|Enterprise|Ex-Customer|10024|Elettronika, S.r.l.
10025|ON Semiconductor|AZ|US|AWR-SW|Site|Ex-Customer|8841|ON Semiconductor
10028|Leidos Corporation - CA|CA|US|AWR-NW|Regional Office|Evaluator|9995|Leidos Corporation
